City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,kralendijk,12.15,-68.2667,29.99,74,40,5.14,BQ,1707081760
154,ixtapa,20.7,-105.2,25.68,57,0,5.14,MX,1707081699
155,tolanaro,-25.0319,46.9987,24.04,94,75,8.23,MG,1707081697
156,al ghayzah,16.2079,52.176,23.68,66,3,2.02,YE,1707081881
157,kristiansund,63.1115,7.732,0.03,93,75,1.54,NO,1707081881
158,ta`u,-14.2336,-169.5144,27.25,90,100,13.98,AS,1707081881
159,acapulco de juarez,16.8634,-99.8901,28.9,51,0,7.24,MX,1707081810
160,coahuayana de hidalgo,18.7,-103.6583,29.08,42,0,3.28,MX,1707081881
161,punta arenas,-53.15,-70.9167,22.06,49,75,7.72,CL,1707081673
162,kapuskasing,49.4169,-82.4331,6.05,60,20,2.57,CA,1707081645
163,pisco,-13.7,-76.2167,28.03,61,0,6.69,PE,1707081669
164,lata,40.1629,-8.3327,11.07,81,100,0.73,PT,1707081882
165,castillos,-34.1667,-53.8333,21.77,57,6,5.5,UY,1707081882
166,pierre,44.3683,-100.351,2.7,95,100,1.54,US,1707081882
167,cockburn town,21.4612,-71.1419,24.67,77,55,5.92,TC,1707081882
168,serhetabat,35.2799,62.3438,4.33,44,15,2.88,TM,1707081882
169,khandyga,62.6667,135.6,-43.83,100,72,0.68,RU,1707081641
170,monywa,22.1167,95.1333,17.71,49,4,2.62,MM,1707081883
171,kerikeri,-35.2268,173.9474,19.39,75,1,0.89,NZ,1707081883
172,ghanzi,-21.5667,21.7833,24.58,49,25,1.79,BW,1707081883
173,dryden,49.7833,-92.7503,1.16,100,100,1.54,CA,1707081883
174,satuek,15.297,103.2919,27.26,51,3,2.1,TH,1707081883
175,selfoss,63.9331,-20.9971,-13.31,82,14,4.34,IS,1707081883
176,ebon,4.582,168.6964,28.24,69,100,9.27,MH,1707081721
177,mount isa,-20.7333,139.5,24.87,73,35,3.09,AU,1707081662
178,noyabrsk,63.1994,75.4507,-22.09,100,100,2.24,RU,1707081633
179,puerto aysen,-45.4,-72.7,21.98,56,6,2.63,CL,1707081806
180,arno,60.1167,18.6333,-0.12,77,2,4.74,SE,1707081884
181,puerto carreno,6.189,-67.4859,31.32,58,100,1.86,CO,1707081884
182,hammerfest,70.6634,23.6821,-3.75,74,40,3.09,NO,1707081717
183,mont-dore,-22.2833,166.5833,28.33,99,100,4.26,NC,1707081884
184,saipan,15.1355,145.701,26.39,69,40,8.75,MP,1707081643
185,ajaccio,42.0,8.9167,8.03,91,0,2.06,FR,1707081864
186,richards bay,-28.783,32.0377,23.02,89,79,2.41,ZA,1707081639
187,balqash,46.8481,74.995,-14.16,96,100,2.54,KZ,1707081884
188,xapuri,-10.6517,-68.5044,31.52,55,93,1.17,BR,1707081885
189,puerto lempira,15.2667,-83.7667,30.08,70,20,4.12,HN,1707081885
190,changji,44.0167,87.3167,-13.56,85,75,0.0,CN,1707081885
191,banda aceh,5.5577,95.3222,25.26,86,71,4.49,ID,1707081718
192,port elizabeth,-33.918,25.5701,21.72,95,0,2.06,ZA,1707081600
193,nzerekore,7.7562,-8.8179,24.53,23,93,1.5,GN,1707081885
194,kingston,17.997,-76.7936,29.0,74,40,4.12,JM,1707081539
195,al muwayh,22.4333,41.7583,15.7,30,75,3.02,SA,1707081885
196,cooper's town,26.8667,-77.5167,20.62,84,100,8.64,BS,1707081885
197,baise city,23.8997,106.6133,17.97,99,100,1.78,CN,1707081886
198,necochea,-38.5473,-58.7368,19.91,52,11,7.88,AR,1707081886
199,visakhapatnam,17.69,83.2093,22.94,100,20,1.03,IN,1707081886
200,sar-e pul,35.8333,66.1667,-2.63,54,4,3.63,AF,1707081886
201,paita,-5.0892,-81.1144,26.06,74,98,5.69,PE,1707081643
202,saurimo,-9.6608,20.3916,18.38,91,99,1.6,AO,1707081886
203,tosontsengel,48.7567,98.2839,-28.01,100,100,0.22,MN,1707081886
204,murzuq,25.9155,13.9184,11.71,44,0,4.16,LY,1707081730
205,iqaluit,63.7506,-68.5145,-20.15,77,100,3.6,CA,1707081618
206,georgetown,5.4112,100.3354,26.96,86,20,1.03,MY,1707081475
207,freetown,8.484,-13.2299,27.84,74,40,5.14,SL,1707081887
208,berdigestyakh,62.0989,126.6992,-35.47,100,92,1.02,RU,1707081633
209,hermanus,-34.4187,19.2345,21.56,88,4,0.69,ZA,1707081632
210,gadzhiyevo,69.2551,33.3362,-11.87,85,100,7.09,RU,1707081887
211,tanjung pandan,-2.75,107.65,25.92,83,96,3.27,ID,1707081887
212,presque isle,46.6811,-68.0159,-3.76,60,0,8.23,US,1707081669
213,ribeira grande,38.5167,-28.7,17.22,94,75,8.05,PT,1707081643
214,muroto-misakicho,33.2833,134.15,9.36,91,100,10.56,JP,1707081888
215,puerto deseado,-47.7503,-65.8938,27.96,32,93,12.14,AR,1707081678
216,san antonio de pale,-1.4014,5.6325,27.79,80,26,2.33,GQ,1707081495
